Vial_num,linear_corr_d15n,wt_percent_n,n_notes,linear_corr_d13c,wt_percent_c,c_notes,n_exclude,c_exclude,Year,Phase_1_treat,Phase_1_rep,Phase_1_rep_R,Phase_2_treat,Phase_2_rep,Phase_2_rep_R,Tag_color,Tag_num,Tissue_type,Sample_Name,Notes,Phase_1_DO,Phase_1_temp,Phase_2.1_DO,Phase_2.1_temp
1,13.4,0.2,NA,-9.5,17.4,NA,NA,NA,2024,Warm,6,Warm6,Warm,6,Warm6,G,72,S,2024_Warm06_Warm06_G72_S,May have bee tag in sample,Norm,Warm,Norm,Warm
2,11.9,0.2,NA,-7.4,15.9,NA,NA,NA,2024,Hyp,5,Hyp5,Warm,6,Warm6,B,69,S,2024_Hyp05_Warm06_B69_S,NA,Hyp,Ambient,Norm,Warm
3,9.6,0.3,NA,-10.2,18.1,NA,NA,NA,2024,Both,6,Both6,Warm,6,Warm6,O,72,S,2024_Both06_Warm06_O72_S,NA,Hyp,Warm,Norm,Warm
4,12.6,10,NA,-24,39.3,NA,NA,NA,2024,Warm,6,Warm6,Warm,6,Warm6,G,72,T,2024_Warm06_Warm06_G72_T,NA,Norm,Warm,Norm,Warm
5,12.5,10.1,NA,-23.8,41.6,NA,NA,NA,2024,Hyp,5,Hyp5,Warm,6,Warm6,B,69,T,2024_Hyp05_Warm06_B69_T,NA,Hyp,Ambient,Norm,Warm
6,12.4,8.8,NA,-23.6,39.2,NA,NA,NA,2024,Both,6,Both6,Warm,6,Warm6,O,72,T,2024_Both06_Warm06_O72_T,NA,Hyp,Warm,Norm,Warm
7,12.7,7,NA,-25.7,49.1,NA,NA,NA,2024,Both,3,Both3,Warm,6,Warm6,O,66,T,2024_Both03_Warm06_O66_T,NA,Hyp,Warm,Norm,Warm
8,12.2,6.8,NA,-26.2,54.9,NA,NA,NA,2024,Cont,2,Cont2,Warm,6,Warm6,W,63,T,2024_Cont02_Warm06_W63_T,NA,Norm,Ambient,Norm,Warm
9,12.5,7.3,NA,-26.2,52.8,NA,NA,NA,2024,Warm,5,Warm5,Warm,6,Warm6,G,69,T,2024_Warm05_Warm06_G69_T,NA,Norm,Warm,Norm,Warm
10,11.6,0.2,NA,-8.6,16.8,NA,NA,NA,2024,Both,3,Both3,Warm,6,Warm6,O,66,S,2024_Both03_Warm06_O66_S,NA,Hyp,Warm,Norm,Warm
11,10.9,0.2,NA,-7.3,15.8,NA,NA,NA,2024,Cont,2,Cont2,Warm,6,Warm6,W,63,S,2024_Cont02_Warm06_W63_S,NA,Norm,Ambient,Norm,Warm
